"","Academic_Year","Term","Course_Number","Course_Title","Primary_Instructor","Student_Count","A","A.","B.","B","B..1","C.","C","C..1","D.","D","D..1","F","W","Average_GPA"
"1","2010-11","20104 (Autumn 2010)","CSE 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",32,13,14,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"2","2010-11","20104 (Autumn 2010)","CSE 142 A","COMPUTER PRGRMNG I","STEPP, MARTIN",294,29,56,35,35,42,21,13,9,5,1,2,23,23,2.7
"3","2010-11","20104 (Autumn 2010)","CSE 142 B","COMPUTER PRGRMNG I","STEPP, MARTIN",320,29,71,35,29,41,25,12,12,5,5,2,25,29,2.7
"4","2010-11","20104 (Autumn 2010)","CSE 143 A","COMPUTER PRGRMNG II","REGES, STUART",247,20,49,29,32,24,23,13,9,3,6,6,19,14,2.6
"5","2010-11","20104 (Autumn 2010)","CSE 143 B","COMPUTER PRGRMNG II","REGES, STUART",31,10,10,2,2,2,1,1,NA,1,1,NA,1,NA,3.2
"6","2010-11","20104 (Autumn 2010)","CSE 311 A","FOUNDATIONS COMP I","REGES, STUART",100,22,26,14,15,14,6,NA,NA,1,1,NA,NA,1,3.2
"7","2010-11","20104 (Autumn 2010)","CSE 312 A","FOUNDATIONS COMP II","LEE, JAMES R",35,5,10,7,6,6,NA,1,NA,NA,NA,NA,NA,NA,3.3
"8","2010-11","20104 (Autumn 2010)","CSE 322 A","INTRO FORMAL MODELS","RUZZO, WALTER L",54,15,16,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"9","2010-11","20104 (Autumn 2010)","CSE 331 A","SW DESIGN & IMPL","NOTKIN, DAVID",39,8,9,11,2,4,2,2,NA,NA,NA,NA,NA,1,3.3
"10","2010-11","20104 (Autumn 2010)","CSE 332 A","DATA ABSTRACTIONS","TOMPA, MARTIN",49,5,13,16,7,7,1,NA,NA,NA,NA,NA,NA,NA,3.2
"11","2010-11","20104 (Autumn 2010)","CSE 341 A","PROGRAMMING LANGS","STEPP, MARTIN",60,6,21,11,9,11,1,1,NA,NA,NA,NA,NA,NA,3.2
"12","2010-11","20104 (Autumn 2010)","CSE 351 A","HW SW INTERFACE","PERKINS, HAL",53,5,22,12,6,2,2,NA,NA,NA,NA,NA,1,3,3.3
"13","2010-11","20104 (Autumn 2010)","CSE 373 A","DATA STRUC/ALGORITH","ANDERSON, RUTH",79,4,21,14,14,11,2,2,3,NA,2,3,2,1,2.9
"14","2010-11","20104 (Autumn 2010)","CSE 378 A","MC ORG & ASSEM LANG","OSKIN, MARK H.",54,9,16,16,6,5,NA,NA,2,NA,NA,NA,NA,NA,3.3
"15","2010-11","20104 (Autumn 2010)","CSE 401 A","INT COMPILER CONSTR","PERKINS, HAL",39,6,24,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"16","2010-11","20104 (Autumn 2010)","CSE 415 A","ARTIF INTELLIGENCE","TANIMOTO, STEVEN L",47,5,15,10,7,3,2,NA,1,NA,NA,1,NA,3,3.2
"17","2010-11","20104 (Autumn 2010)","CSE 421 A","INTRO TO ALGORITHMS","LADNER, RICHARD E",45,9,12,11,8,4,NA,NA,NA,NA,NA,NA,NA,1,3.4
"18","2010-11","20104 (Autumn 2010)","CSE 444 A","INTRO DATABASE SYS","BALAZINSKA, MAGDA",55,11,22,18,2,NA,NA,NA,NA,NA,NA,NA,1,1,3.5
"19","2010-11","20104 (Autumn 2010)","CSE 451 A","INTRO OPERATING SYS","LAZOWSKA, EDWARD D",58,4,28,16,7,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5
"20","2010-11","20104 (Autumn 2010)","CSE 454 A","INTERNET SERVICES","WELD, DAN",33,13,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"21","2010-11","20104 (Autumn 2010)","CSE 455 A","COMPUTER VISION","SHAPIRO, LINDA G",20,15,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"22","2010-11","20104 (Autumn 2010)","CSE 457 A","COMPUTER GRAPHICS","CURLESS, BRIAN",38,7,24,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"23","2010-11","20104 (Autumn 2010)","CSE 458 A","COMPUTER ANIMATION","MONES-HATTAL, BARBARA",22,9,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"24","2010-11","20104 (Autumn 2010)","CSE 461 A","INTRO COMP NETWORKS","ZAHORJAN, JOHN",50,9,17,10,11,2,NA,1,NA,NA,NA,NA,NA,NA,3.4
"25","2010-11","20104 (Autumn 2010)","CSE 466 A","SW FOR EMB SYS","HEMINGWAY, BRUCE R.",13,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"26","2010-11","20104 (Autumn 2010)","CSE 473 A","INTR TO ARTIF INTLL","DOMINGOS, PEDRO",40,15,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.7
"27","2010-11","20104 (Autumn 2010)","CSE 521 A","DSGN&ANLYS ALGRTHM","KARLIN, ANNA",20,2,14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"28","2010-11","20104 (Autumn 2010)","CSE 550 A","COMPUTER SYSTEMS","ANDERSON, THOMAS",19,5,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"29","2010-11","20104 (Autumn 2010)","CSE 573 A","ARTIFICIAL INTEL I","ZETTLEMOYER, LUKE",19,5,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.7
"30","2010-11","20104 (Autumn 2010)","CSE 599 U","SPECIAL TOPICS","PATEL, SHWETAK N.",25,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.8
"31","2010-11","20104 (Autumn 2010)","CSE P 544 B","DATABASE MGT SYS","SUCIU, DAN",53,14,29,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"32","2010-11","20104 (Autumn 2010)","CSE P 557 B","TRENDS COMP GRAPHIC","POPOVIC, ZORAN",32,15,14,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"33","2010-11","20104 (Autumn 2010)","CSE P 561 A","NETWORK SYSTEMS","WETHERALL, DAVID",62,17,35,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"34","2010-11","20111 (Winter 2011)","CSE 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",71,24,32,9,3,1,1,NA,NA,NA,NA,NA,1,NA,3.6
"35","2010-11","20111 (Winter 2011)","CSE 120 A","COMP SCI PRINCIPLES","SNYDER, LAWRENCE",22,3,7,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3.3
"36","2010-11","20111 (Winter 2011)","CSE 142 A","COMPUTER PRGRMNG I","REGES, STUART",257,25,56,32,27,25,17,17,11,11,4,6,21,5,2.6
"37","2010-11","20111 (Winter 2011)","CSE 142 B","COMPUTER PRGRMNG I","REGES, STUART",252,20,59,52,26,21,12,20,2,7,5,9,7,12,2.8
"38","2010-11","20111 (Winter 2011)","CSE 143 A","COMPUTER PRGRMNG II","STEPP, MARTIN",408,37,98,53,52,50,31,15,11,11,12,3,13,22,2.8
"39","2010-11","20111 (Winter 2011)","CSE 311 A","FOUNDATIONS COMP I","RAO, RAJESH",56,14,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.7
"40","2010-11","20111 (Winter 2011)","CSE 312 A","FOUNDATIONS COMP II","RUZZO, WALTER L",66,9,24,17,9,3,NA,NA,NA,NA,NA,NA,1,3,3.4
"41","2010-11","20111 (Winter 2011)","CSE 331 A","SW DESIGN & IMPL","ERNST, MICHAEL D",51,9,13,5,2,7,3,3,2,NA,NA,NA,NA,7,3.2
"42","2010-11","20111 (Winter 2011)","CSE 332 A","DATA ABSTRACTIONS","ANDERSON, RUTH",94,7,40,23,10,8,5,NA,NA,NA,NA,1,NA,NA,3.3
"43","2010-11","20111 (Winter 2011)","CSE 351 A","HW SW INTERFACE","ZAHORJAN, JOHN",61,7,20,13,11,5,2,1,2,NA,NA,NA,NA,NA,3.2
"44","2010-11","20111 (Winter 2011)","CSE 373 A","DATA STRUC/ALGORITH","MILLER, JESSICA K.",87,10,15,15,12,11,6,4,3,2,NA,1,4,4,2.8
"45","2010-11","20111 (Winter 2011)","CSE 374 A","PROG CONCEPTS TOOLS","PERKINS, HAL",57,7,22,8,8,2,2,3,1,NA,NA,NA,2,2,3.2
"46","2010-11","20111 (Winter 2011)","CSE 378 A","MC ORG & ASSEM LANG","PERKINS, HAL",33,3,16,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"47","2010-11","20111 (Winter 2011)","CSE 403 A","SOFTWARE ENGINEERING","NOTKIN, DAVID",44,3,23,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"48","2010-11","20111 (Winter 2011)","CSE 417 A","ALG & COMP COMPLEX","TANIMOTO, STEVEN L",48,9,8,11,5,5,2,2,NA,NA,1,NA,2,3,3
"49","2010-11","20111 (Winter 2011)","CSE 421 A","INTRO TO ALGORITHMS","RAO, ANUP",55,8,27,15,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3.5
"50","2010-11","20111 (Winter 2011)","CSE 427 A","COMP BIOLOGY","TOMPA, MARTIN",18,4,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,3.6
"51","2010-11","20111 (Winter 2011)","CSE 444 A","INTRO DATABASE SYS","GATTERBAUER, WOLFGANG",56,8,32,10,2,NA,NA,NA,NA,1,NA,NA,NA,3,3.5
"52","2010-11","20111 (Winter 2011)","CSE 446 A","MACHINE LEARNING","ETZIONI, OREN",59,39,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"53","2010-11","20111 (Winter 2011)","CSE 451 A","INTRO OPERATING SYS","KIMURA, GARY D.",52,3,8,19,9,5,3,NA,3,NA,NA,NA,NA,2,3.1
"54","2010-11","20111 (Winter 2011)","CSE 459 A","ANIMATION PRE-PROD","MONES-HATTAL, BARBARA",19,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"55","2010-11","20111 (Winter 2011)","CSE 464 A","ADV TOPICS-ANIMATION","MONES-HATTAL, BARBARA",15,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"56","2010-11","20111 (Winter 2011)","CSE 467 A","ADV DIGITAL DESIGN","EBELING, CARL",15,4,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"57","2010-11","20111 (Winter 2011)","CSE 481 H","CAP SOFT DESIGN","LADNER, RICHARD E",16,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"58","2010-11","20111 (Winter 2011)","CSE 484 A","COMPUTER SECURITY","KOHNO, TADAYOSHI",56,18,23,8,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"59","2010-11","20111 (Winter 2011)","CSE 490 H","SPECIAL TOPICS CSE","ANDERSON, THOMAS",34,13,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"60","2010-11","20111 (Winter 2011)","CSE 510 A","ADV TOPICS IN HCI","FOGARTY, JAMES A",14,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"61","2010-11","20111 (Winter 2011)","CSE 525 A","RANDOM ALGORITHMS","KARLIN, ANNA",17,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"62","2010-11","20111 (Winter 2011)","CSE 574 A","ARTIFICIAL INTEL II","ZETTLEMOYER, LUKE",15,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"63","2010-11","20111 (Winter 2011)","CSE P 548 A","COMPUTER ARCH","CEZE, LUIS H",24,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"64","2010-11","20111 (Winter 2011)","CSE P 573 A","APPS ARTIF INTEL","MAUSAM",24,6,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"65","2010-11","20111 (Winter 2011)","CSE P 590 A","SP TPC COMPTR SCI","BENALOH, JOSH",48,2,22,12,8,4,NA,NA,NA,NA,NA,NA,NA,NA,3.4
"66","2010-11","20111 (Winter 2011)","CSE P 590 B","SP TPC COMPTR SCI","BORRIELLO, GAETANO",51,12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"67","2010-11","20112 (Spring 2011)","CSE 100 A","COMPUTER FLUENCY","FLEURY, DARRELL",70,26,28,6,3,3,2,NA,NA,NA,NA,NA,NA,2,3.6
"68","2010-11","20112 (Spring 2011)","CSE 142 A","COMPUTER PRGRMNG I","LIMKETKAI, BENSON N",207,22,54,23,21,20,9,11,6,8,4,2,19,8,2.7
"69","2010-11","20112 (Spring 2011)","CSE 142 B","COMPUTER PRGRMNG I","LIMKETKAI, BENSON N",221,21,51,20,32,18,17,19,5,6,5,2,16,9,2.7
"70","2010-11","20112 (Spring 2011)","CSE 143 A","COMPUTER PRGRMNG II","REGES, STUART",316,23,70,31,33,43,15,15,18,7,4,5,20,32,2.7
"71","2010-11","20112 (Spring 2011)","CSE 190 M","CURRENT TOPICS CSE","STEPP, MARTIN",297,31,97,46,42,25,19,3,7,4,3,2,9,9,3
"72","2010-11","20112 (Spring 2011)","CSE 311 A","FOUNDATIONS COMP I","HARROW, ARAM W",56,15,16,12,6,3,2,1,NA,NA,NA,NA,NA,1,3.4
"73","2010-11","20112 (Spring 2011)","CSE 312 A","FOUNDATIONS COMP II","DOMINGOS, PEDRO",51,NA,36,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"74","2010-11","20112 (Spring 2011)","CSE 331 A","SW DESIGN & IMPL","STEPP, MARTIN",71,10,18,17,11,9,3,NA,2,NA,NA,NA,NA,1,3.2
"75","2010-11","20112 (Spring 2011)","CSE 332 A","DATA ABSTRACTIONS","TANIMOTO, STEVEN L",52,17,16,10,7,NA,NA,NA,NA,NA,NA,NA,NA,2,3.6
"76","2010-11","20112 (Spring 2011)","CSE 333 A","SYSTEMS PROGRAMMING","GRIBBLE, STEVEN",53,6,17,17,1,4,NA,NA,1,NA,NA,NA,1,6,3.3
"77","2010-11","20112 (Spring 2011)","CSE 341 A","PROGRAMMING LANGS","PERKINS, HAL",52,8,20,12,7,3,NA,NA,NA,NA,NA,NA,NA,2,3.4
"78","2010-11","20112 (Spring 2011)","CSE 344 A","INTRO DATA MGMT","SUCIU, DAN",35,4,15,10,1,4,NA,NA,NA,NA,NA,NA,NA,1,3.4
"79","2010-11","20112 (Spring 2011)","CSE 351 A","HW SW INTERFACE","CEZE, LUIS H",58,19,25,5,4,2,NA,1,NA,NA,NA,NA,NA,2,3.6
"80","2010-11","20112 (Spring 2011)","CSE 352 A","HW DESIGN & IMPL","HEMINGWAY, BRUCE R.",22,4,9,5,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3.5
"81","2010-11","20112 (Spring 2011)","CSE 373 A","DATA STRUC/ALGORITH","MILLER, JESSICA K.",82,8,13,14,10,10,6,4,3,1,1,1,2,9,2.9
"82","2010-11","20112 (Spring 2011)","CSE 403 A","SOFTWARE ENGINEERING","ERNST, MICHAEL D",43,15,10,14,2,NA,NA,NA,NA,NA,NA,NA,NA,2,3.6
"83","2010-11","20112 (Spring 2011)","CSE 413 A","LANGS & COMPILERS","PERKINS, HAL",64,7,14,15,10,8,NA,4,1,NA,NA,NA,2,3,3.1
"84","2010-11","20112 (Spring 2011)","CSE 431 A","INTRO THEORY COMPUT","LEE, JAMES R",26,8,4,4,6,3,NA,1,NA,NA,NA,NA,NA,NA,3.3
"85","2010-11","20112 (Spring 2011)","CSE 440 A","INTRODUCTION TO HCI","FOGARTY, JAMES A",38,1,31,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"86","2010-11","20112 (Spring 2011)","CSE 451 A","INTRO OPERATING SYS","ZAHORJAN, JOHN",39,6,14,10,5,1,NA,1,NA,NA,NA,NA,NA,2,3.4
"87","2010-11","20112 (Spring 2011)","CSE 457 A","COMPUTER GRAPHICS","CURLESS, BRIAN",43,16,15,8,1,1,NA,NA,NA,NA,NA,NA,NA,2,3.6
"88","2010-11","20112 (Spring 2011)","CSE 460 A","ANIMATION CAPSTONE","MONES-HATTAL, BARBARA",18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"89","2010-11","20112 (Spring 2011)","CSE 461 C","INTRO COMP NETWORKS","WETHERALL, DAVID",56,10,30,8,5,NA,1,1,NA,NA,NA,NA,NA,1,3.5
"90","2010-11","20112 (Spring 2011)","CSE 471 A","COMPT DESIGN ORG","LUCIA, BRANDON",17,2,11,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3.4
"91","2010-11","20112 (Spring 2011)","CSE 473 A","INTR TO ARTIF INTLL","ETZIONI, OREN",55,16,24,9,3,2,NA,NA,NA,NA,NA,NA,NA,1,3.6
"92","2010-11","20112 (Spring 2011)","CSE 477 A","DIG SYSTEM DESIGN","PATEL, SHWETAK N.",27,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.9
"93","2010-11","20112 (Spring 2011)","CSE 481 D","CAP SOFT DESIGN","POPOVIC, ZORAN",26,5,13,4,1,2,NA,1,NA,NA,NA,NA,NA,NA,3.5
"94","2010-11","20112 (Spring 2011)","CSE 481 K","CAP SOFT DESIGN","BORRIELLO, GAETANO",15,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"95","2010-11","20112 (Spring 2011)","CSE 481 M","CAP SOFT DESIGN","MAHAJAN, RATUL",13,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"96","2010-11","20112 (Spring 2011)","CSE 515 A","STAT METH IN CS","LEE, SU-IN",25,6,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.7
"97","2010-11","20112 (Spring 2011)","CSE 528 A","COMPUTATNL NEUROSCI","RAO, RAJESH",15,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8
"98","2010-11","20112 (Spring 2011)","CSE 564 A","SECURITY & PRIVACY","KOHNO, TADAYOSHI",22,6,12,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"99","2010-11","20112 (Spring 2011)","CSE P 506 A","ADV TOPIC PROG LANG","MUSUVATHI, MADANLAL",47,36,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3.8
"100","2010-11","20112 (Spring 2011)","CSE P 521 A","APPLIED ALGORITHMS","ANDERSON, RICHARD J",24,3,12,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"101","2010-11","20112 (Spring 2011)","CSE P 576 A","COMPUTER VISION","ZITNICK, CHARLES LAWRENCE",42,35,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"102","2010-11","20112 (Spring 2011)","CSE P 590 B","SP TPC COMPTR SCI","RUZZO, WALTER L",21,19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"103","2010-11","20113 (Summer 2011)","CSE 142 A","COMPUTER PRGRMNG I","WORTZMAN, BRETT G B",139,19,24,11,13,21,4,12,3,7,2,2,11,10,2.6
"104","2010-11","20113 (Summer 2011)","CSE 143 A","COMPUTER PRGRMNG II","PERKINS, HAL",102,9,24,20,12,8,8,4,4,1,1,NA,1,10,3
"105","2010-11","20113 (Summer 2011)","CSE 190 M","CURRENT TOPICS CSE","DOOCY, MORGAN T",93,8,20,20,10,15,4,3,2,3,1,NA,4,3,2.9
"106","2010-11","20113 (Summer 2011)","CSE 332 A","DATA ABSTRACTIONS","TOMPA, MARTIN",28,3,8,10,2,4,NA,NA,NA,NA,NA,NA,NA,1,3.3
"107","2010-11","20113 (Summer 2011)","CSE 421 A","INTRO TO ALGORITHMS","RUZZO, WALTER L",14,5,3,3,1,NA,NA,NA,NA,NA,NA,NA,1,1,3.3
"108","2010-11","20113 (Summer 2011)","CSE 456 A","STORY FOR ANIMATION","MONES-HATTAL, BARBARA",24,4,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"109","2011-12","20114 (Autumn 2011)","CSE 142 A","COMPUTER PRGRMNG I","MARTIN, HELENE",333,16,60,48,41,44,29,17,12,5,4,3,24,30,2.6
"110","2011-12","20114 (Autumn 2011)","CSE 142 B","COMPUTER PRGRMNG I","MARTIN, HELENE",345,29,67,49,38,37,41,22,17,5,6,1,19,14,2.7
"111","2011-12","20114 (Autumn 2011)","CSE 143 A","COMPUTER PRGRMNG II","REGES, STUART",273,22,58,32,26,31,21,18,12,6,2,2,15,28,2.7
"112","2011-12","20114 (Autumn 2011)","CSE 311 A","FOUNDATIONS COMP I","ANDERSON, RICHARD J",70,14,32,16,4,2,NA,1,NA,NA,NA,NA,NA,1,3.5
"113","2011-12","20114 (Autumn 2011)","CSE 311 B","FOUNDATIONS COMP I","ANDERSON, RICHARD J",58,7,22,14,6,5,1,2,1,NA,NA,NA,NA,NA,3.3
"114","2011-12","20114 (Autumn 2011)","CSE 312 A","FOUNDATIONS COMP II","RUZZO, WALTER L",58,8,19,15,8,5,NA,1,NA,NA,NA,NA,NA,2,3.3
"115","2011-12","20114 (Autumn 2011)","CSE 331 A","SW DESIGN & IMPL","NOTKIN, DAVID",56,5,35,11,3,NA,NA,2,NA,NA,NA,NA,NA,NA,3.5
"116","2011-12","20114 (Autumn 2011)","CSE 332 A","DATA ABSTRACTIONS","TOMPA, MARTIN",42,4,18,10,4,4,1,NA,NA,1,NA,NA,NA,NA,3.3
"117","2011-12","20114 (Autumn 2011)","CSE 333 A","SYSTEMS PROGRAMMING","REGES, STUART",63,15,14,8,5,6,3,5,NA,NA,NA,1,3,3,3.1
"118","2011-12","20114 (Autumn 2011)","CSE 341 A","PROGRAMMING LANGS","GROSSMAN, DANIEL JOSEPH",76,17,17,12,16,6,3,2,1,NA,NA,NA,NA,2,3.3
"119","2011-12","20114 (Autumn 2011)","CSE 344 A","INTRO DATA MGMT","BALAZINSKA, MAGDA",31,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"120","2011-12","20114 (Autumn 2011)","CSE 351 A","HW SW INTERFACE","CEZE, LUIS H",88,47,25,8,5,2,NA,NA,NA,NA,NA,NA,NA,1,3.7
"121","2011-12","20114 (Autumn 2011)","CSE 352 A","HW DESIGN & IMPL","EBELING, CARL",24,7,13,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"122","2011-12","20114 (Autumn 2011)","CSE 373 A","DATA STRUC/ALGORITH","ANDERSON, RUTH",96,7,22,18,14,11,10,6,3,2,NA,NA,2,1,2.9
"123","2011-12","20114 (Autumn 2011)","CSE 401 A","INT COMPILER CONSTR","PERKINS, HAL",52,10,15,16,7,2,NA,NA,NA,NA,NA,NA,1,1,3.4
"124","2011-12","20114 (Autumn 2011)","CSE 415 A","ARTIF INTELLIGENCE","TANIMOTO, STEVEN L",47,9,11,7,5,1,2,1,1,NA,NA,1,2,7,3.1
"125","2011-12","20114 (Autumn 2011)","CSE 421 A","INTRO TO ALGORITHMS","KARLIN, ANNA",30,5,11,8,1,2,NA,NA,NA,NA,NA,NA,NA,3,3.5
"126","2011-12","20114 (Autumn 2011)","CSE 440 A","INTRODUCTION TO HCI","BORNING, ALAN H",38,6,13,8,8,2,NA,NA,NA,NA,NA,NA,NA,1,3.4
"127","2011-12","20114 (Autumn 2011)","CSE 451 A","INTRO OPERATING SYS","ZAHORJAN, JOHN",46,8,16,14,5,1,NA,NA,NA,NA,NA,NA,1,1,3.4
"128","2011-12","20114 (Autumn 2011)","CSE 457 A","COMPUTER GRAPHICS","LEVENTHAL, DANIEL",18,7,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3.6
"129","2011-12","20114 (Autumn 2011)","CSE 458 A","COMPUTER ANIMATION","MONES-HATTAL, BARBARA",20,7,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"130","2011-12","20114 (Autumn 2011)","CSE 461 A","INTRO COMP NETWORKS","WETHERALL, DAVID",54,6,32,13,1,1,NA,NA,NA,NA,NA,NA,NA,1,3.5
"131","2011-12","20114 (Autumn 2011)","CSE 466 A","SW FOR EMB SYS","SMITH, JOSHUA R.",24,13,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"132","2011-12","20114 (Autumn 2011)","CSE 473 A","INTR TO ARTIF INTLL","ZETTLEMOYER, LUKE",44,22,15,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3.7
"133","2011-12","20114 (Autumn 2011)","CSE 484 A","COMPUTER SECURITY","KOHNO, TADAYOSHI",51,9,32,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"134","2011-12","20114 (Autumn 2011)","CSE 490 Z","SPECIAL TOPICS CSE","KARLIN, ANNA",13,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
"135","2011-12","20114 (Autumn 2011)","CSE 521 A","DSGN&ANLYS ALGRTHM","HARROW, ARAM W",25,4,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"136","2011-12","20114 (Autumn 2011)","CSE 550 A","COMPUTER SYSTEMS","GANZHORN, JASON",18,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.7
"137","2011-12","20114 (Autumn 2011)","CSE 574 A","ARTIFICIAL INTEL II","DOMINGOS, PEDRO",16,5,7,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3.5
"138","2011-12","20114 (Autumn 2011)","CSE P 501 A","COMPILER CONSTRUCT","PERKINS, HAL",48,15,28,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.7
"139","2011-12","20114 (Autumn 2011)","CSE P 544 B","DATABASE MGT SYS","SUCIU, DAN",42,12,21,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3.6
"140","2011-12","20114 (Autumn 2011)","CSE P 595 B","SW ENTREPRENEURSHIP","LEONG, ALAN",53,1,34,15,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3.5
"141","2011-12","20121 (Winter 2012)","CSE 100 A","COMPUTER FLUENCY","DEIBEL, KATHERINE N.",64,11,33,7,10,1,1,NA,NA,NA,1,NA,NA,NA,3.4
"142","2011-12","20121 (Winter 2012)","CSE 120 A","COMP SCI PRINCIPLES","SNYDER, LAWRENCE",29,6,7,5,2,4,1,3,1,NA,NA,NA,NA,NA,3.2
"143","2011-12","20121 (Winter 2012)","CSE 142 A","COMPUTER PRGRMNG I","REGES, STUART",313,25,51,40,40,45,23,12,17,9,3,3,28,17,2.6
"144","2011-12","20121 (Winter 2012)","CSE 142 B","COMPUTER PRGRMNG I","REGES, STUART",325,28,61,45,39,47,16,16,14,11,10,6,16,16,2.7
"145","2011-12","20121 (Winter 2012)","CSE 143 A","COMPUTER PRGRMNG II","STEPP, MARTIN",248,24,50,25,40,47,12,17,10,5,4,1,5,8,2.8
"146","2011-12","20121 (Winter 2012)","CSE 143 B","COMPUTER PRGRMNG II","STEPP, MARTIN",245,24,30,29,35,48,16,18,21,2,5,1,7,9,2.7
"147","2011-12","20121 (Winter 2012)","CSE 312 A","FOUNDATIONS COMP II","LEE, JAMES R",69,9,18,14,14,10,2,1,1,NA,NA,NA,NA,NA,3.2
"148","2011-12","20121 (Winter 2012)","CSE 331 A","SW DESIGN & IMPL","PERKINS, HAL",77,15,28,15,6,6,4,2,NA,NA,NA,NA,NA,1,3.4
"149","2011-12","20121 (Winter 2012)","CSE 332 A","DATA ABSTRACTIONS","FOGARTY, JAMES A",86,2,54,19,9,NA,NA,NA,NA,NA,NA,NA,NA,2,3.5
